Entidad federativa,Población de 18 años y más que tuvo contacto con algún servidor público1,"Conocimiento y/o contacto con actos de corrupción en los trámites,
 pagos, solicitudes y contacto que realizó durante 2015
",,,,,,,
,,Usuarios que creen o han escuchado que existe corrupción en los trámites que realizaron,,,Usuarios que tienen algún conocido que les refirió actos de corrupción en los trámites que realizaron,,,Usuarios  que experimentaron algún acto de corrupción en al menos uno de los trámites que realizaron,
,,Absolutos,"Tasa por cada 
100 000 habitantes2 ",,Absolutos,"Tasa por cada 
100 000 habitantes3 ",,Absolutos,"Tasa por cada 
100 000 habitantes4 "
entidad,Población de 18 años y más,,,,,,,contacto_tot,contacto
Estados Unidos Mexicanos,32921444,19658442,59713.18269,,15403899,46789.86438,,4144951,12590.4289
Aguascalientes,474800,265591,55937.44735,,195340,41141.53328,,39419,8302.232519
Baja California,1279361,838587,65547.33183,,667596,52181.98773,,180731,14126.66167
Baja California Sur,150245,93244,62061.29988,,73325,48803.62075,,16843,11210.35642
Campeche,255767,169384,66225.90092,,103768,40571.30122,,25043,9791.333518
Coahuila de Zaragoza,1007925,680612,67526.05601,,483207,47940.7694,,111851,11097.15505
Colima,212509,113786,53544.08519,,74867,35230.03732,,16046,7550.739028
Chiapas,446298,221213,49566.20912,,155059,34743.37774,,38990,8736.315197
Chihuahua,1311975,728739,55545.1895,,593328,45224.03247,,231182,17620.91503
Ciudad de México,4367396,2676838,61291.39652,,2209555,50592.04615,,706088,16167.2539
Durango,522134,318123,60927.46307,,237074,45404.81945,,74621,14291.54202
Guanajuato,1237395,476113,38477.0425,,459946,37170.5074,,89752,7253.3023
Guerrero,461741,268276,58100.97002,,195570,42354.91325,,47800,10352.12381
Hidalgo,286901,143471,50007.14532,,128331,44730.06368,,42255,14728.07693
Jalisco,2423102,1267956,52327.80131,,976542,40301.31625,,347751,14351.48005
Estado de México,5847381,3693987,63173.35915,,2917761,49898.59563,,717948,12278.1122
Michoacán de Ocampo,551209,372239,67531.37195,,262904,47695.88305,,89964,16321.21391
Morelos,568048,388129,68326.79633,,326954,57557.45993,,114132,20091.96406
Nayarit,241615,137742,57008.87776,,92627,38336.6099,,17116,7083.997268
Nuevo León,2059257,1168557,56746.53528,,926567,44995.20944,,162489,7890.661535
Oaxaca,334971,203341,60704.06095,,160594,47942.65772,,41597,12418.08992
Puebla,1216687,693171,56972.00677,,540966,44462.21584,,149239,12266.01418
Querétaro,584857,358200,61245.74041,,263351,45028.27187,,76462,13073.62312
Quintana Roo,604798,341521,56468.60605,,269874,44622.17137,,79138,13085.03004
San Luis Potosí,648519,361930,55808.69643,,305575,47118.89706,,70745,10908.70121
Sinaloa,795304,551580,69354.61157,,372653,46856.67367,,144301,18144.13105
Sonora,975476,672465,68937.11378,,513528,52643.83747,,137510,14096.70766
Tabasco,232671,178828,76858.74045,,127044,54602.42144,,28033,12048.34294
Tamaulipas,1132368,597310,52748.75306,,458065,40451.95555,,92305,8151.501985
Tlaxcala,376228,272553,72443.57145,,199143,52931.46709,,49565,13174.19225
Veracruz de Ignacio de la Llave,1417076,821874,57997.87732,,654416,46180.72707,,98515,6951.991283
Yucatán,680467,478979,70389.74704,,366283,53828.17976,,92745,13629.61025
Zacatecas,216963,104103,47981.91397,,92086,42443.18156,,14775,6809.916898