entidad,escolaridad
01 Aguascalientes,9.725974723
02 Baja California,9.757417721
03 Baja California Sur,9.905535231
04 Campeche,9.13845446
05 Coahuila de Zaragoza,9.897388249
06 Colima,9.528720419
07 Chiapas,7.288581208
08 Chihuahua,9.466590559
09 Ciudad de México,11.11958711
10 Durango,9.147609659
11 Guanajuato,8.381850681
12 Guerrero,7.802707422
13 Hidalgo,8.715456678
14 Jalisco,9.249860796
15 México,9.528067379
16 Michoacán de Ocampo,7.926166956
17 Morelos,9.303000614
18 Nayarit,9.158921469
19 Nuevo León,10.27495586
20 Oaxaca,7.51576302
21 Puebla,8.493854344
22 Querétaro,9.553260268
23 Quintana Roo,9.615036244
24 San Luis Potosí,8.81999521
25 Sinaloa,9.581325259
26 Sonora,10.00142937
27 Tabasco,9.311768933
28 Tamaulipas,9.508512087
29 Tlaxcala,9.274111563
30 Veracruz de Ignacio de la Llave,8.203437948
31 Yucatán,8.821077329
32 Zacatecas,8.629599032