Entidad federativa,"Población 
de 18 años y más1",Percepción sobre la frecuencia de corrupción en su entidad federativa2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,,Nunca ,
,,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos
entidad,Población de 18 años y más,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Estados Unidos Mexicanos,50163217,22360326,44.57514358,21281571,42.42465351,4828875,9.626326398,813524,1.621754043
Aguascalientes,640159,213694,33.38139431,310578,48.51575937,95094,14.85474702,10612,1.657713162
Baja California,1972157,974354,49.40549865,766655,38.87393346,179814,9.117631101,14782,0.749534647
Baja California Sur,221858,66770,30.09582706,102249,46.08758756,37870,17.06947687,3081,1.388726122
Campeche,339505,130272,38.37115801,155906,45.92156227,43341,12.76593865,3788,1.115742036
Coahuila de Zaragoza,1596607,625163,39.1557221,664095,41.59414308,249114,15.6027125,36325,2.275137213
Colima,342597,116317,33.95155241,171755,50.13324693,38889,11.35123775,7003,2.044092622
Chiapas,782349,295774,37.8058897,389671,49.80782234,76691,9.802658404,12475,1.594556905
Chihuahua,1978450,932753,47.14564432,835066,42.20809219,147824,7.47170765,32935,1.664687002
Ciudad de México,6940053,3648622,52.57340254,2598674,37.44458436,493449,7.110161839,110965,1.598907098
Durango,672208,229978,34.21232714,324760,48.31242711,96171,14.30673244,13756,2.046390403
Guanajuato,1846759,683005,36.98398113,808478,43.7782082,234834,12.7160068,80544,4.361370379
Guerrero,769601,339872,44.16210478,332925,43.25942924,67761,8.804692302,10205,1.326011791
Hidalgo,410534,150326,36.6171864,200266,48.78183049,47368,11.538143,6402,1.559432349
Jalisco,3267971,1256696,38.45493121,1521151,46.54726128,317010,9.700514478,66121,2.023304368
Estado de México,9892687,5419601,54.7839126,3636574,36.760225,684979,6.924094536,75557,0.763766204
Michoacán de Ocampo,851551,408626,47.98608656,361411,42.44149793,56685,6.656677052,9233,1.084256844
Morelos,781571,353881,45.27816411,351957,45.03199325,61314,7.844968659,7392,0.945787395
Nayarit,329203,151192,45.92667746,135279,41.0928819,33410,10.1487532,4284,1.301324715
Nuevo León,3275338,1182129,36.09181709,1598132,48.79288794,330529,10.09144705,41527,1.267869148
Oaxaca,489775,222581,45.44556174,219026,44.71971824,40936,8.358123628,2774,0.566382523
Puebla,1769155,685369,38.7399069,899171,50.82488533,145700,8.235570089,19701,1.113582473
Querétaro,823692,205397,24.93614118,386739,46.95189464,174698,21.20914128,36957,4.486749902
Quintana Roo,907420,439444,48.42785039,373554,41.16660422,59222,6.526415552,10361,1.141808644
San Luis Potosí,910643,345620,37.95340216,428976,47.10693433,114734,12.59922934,17081,1.875707604
Sinaloa,1056400,467282,44.23343431,428714,40.58254449,121846,11.534078,14934,1.413669065
Sonora,1354384,620495,45.81381647,540027,39.87251769,122706,9.059912108,20590,1.52024832
Tabasco,316563,137190,43.33734517,153329,48.43554048,18556,5.861708412,4450,1.405723347
Tamaulipas,1965235,663627,33.76832796,929594,47.30192572,274337,13.95950103,59026,3.003508486
Tlaxcala,540694,170975,31.62139769,281889,52.13466397,69474,12.84904216,5891,1.089525684
Veracruz de Ignacio de la Llave,1994079,887376,44.50054386,859853,43.12030767,180111,9.032290095,47431,2.378591821
Yucatán,835285,226025,27.05962636,366400,43.86526754,190284,22.78072754,24685,2.955278737
Zacatecas,288734,109920,38.06964195,148717,51.50657699,24124,8.355095001,2656,0.919877811