entidad,pob,habla_indigena
01 Aguascalientes,1352235,2539
02 Baja California,3610844,49130
03 Baja California Sur,758642,13581
04 Campeche,878528,91801
05 Coahuila de Zaragoza,2980244,5527
06 Colima,699821,5210
07 Chiapas,5181929,1459648
08 Chihuahua,3570280,110498
09 Ciudad de México,8933167,125153
10 Durango,1733682,47242
11 Guanajuato,5840957,14048
12 Guerrero,3328762,515487
13 Hidalgo,2944897,362629
14 Jalisco,7912955,66963
15 México,16260058,417603
16 Michoacán de Ocampo,4493516,154943
17 Morelos,1887763,38110
18 Nayarit,1174739,69069
19 Nuevo León,5508144,77945
20 Oaxaca,3917300,1221555
21 Puebla,6238582,615622
22 Querétaro,2253414,31383
23 Quintana Roo,1752570,204949
24 San Luis Potosí,2687679,231213
25 Sinaloa,2885315,35539
26 Sonora,2817821,62808
27 Tabasco,2283383,91025
28 Tamaulipas,3367123,22651
29 Tlaxcala,1258093,27174
30 Veracruz de Ignacio de la Llave,7716363,663503
31 Yucatán,2215931,525092
32 Zacatecas,1531847,5005